,date,event,province,district,deaths,injured,missing,house_destroyed,house_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_local,education_center,hospitals,crops_damageHa,road_damage_M
138,2019-12-19,event,province, AGAM,0.0,0.0,0.0,0.0,0.0,0.0,18.0, ,0.0,0,0.0,0.0,0.0,0.0
139,2019-12-19,event,province, KLATEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
140,2019-12-19,event,province, TRENGGALEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
141,2019-12-18,event,province, BIMA,0.0,0.0,0.0,10.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
142,2019-12-18,event,province, DEMAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
143,2019-12-18,event,province, BANJARNEGARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
144,2019-12-18,event,province, DELI SERDANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
145,2019-12-18,event,province, BOGOR,0.0,0.0,0.0,0.0,0.0,0.0,184.0, ,0.0,0,0.0,0.0,0.0,0.0
146,2019-12-18,event,province, BOGOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
147,2019-12-18,event,province, KLATEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
148,2019-12-18,event,province, SUMBAWA BARAT,0.0,0.0,0.0,2.0,15.0,0.0,0.0, ,0.0,0,1.0,0.0,0.0,0.0
149,2019-12-18,event,province, BIMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
150,2019-12-18,event,province, GROBOGAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
151,2019-12-17,event,province, PURBALINGGA,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
152,2019-12-17,event,province, KOTA SEMARANG,0.0,0.0,0.0,0.0,1.0,0.0,4.0, ,0.0,0,0.0,0.0,0.0,0.0
153,2019-12-17,event,province, BANDUNG,0.0,0.0,0.0,0.0,0.0,867.0,25184.0, ,867.0,0,0.0,0.0,0.0,0.0
154,2019-12-17,event,province, KOTA SEMARANG,0.0,0.0,0.0,0.0,1.0,0.0,4.0, ,0.0,0,0.0,0.0,0.0,0.0
155,2019-12-17,event,province, BEKASI,0.0,0.0,0.0,0.0,0.0,0.0,500.0, ,0.0,0,0.0,0.0,0.0,0.0
156,2019-12-17,event,province, SERANG,0.0,0.0,0.0,1.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
157,2019-12-17,event,province, SRAGEN,0.0,0.0,0.0,0.0,1.0,0.0,5.0, ,0.0,0,0.0,0.0,0.0,0.0
